id,etiqueta,nivel,numero,parte,titulo_pot,capitulo_pot,tipo,tema,es_definicion,resumen
n718,Artículo 455. Definición de Macroproyectos.,3,455,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO II           SUBSISTEMA DE PLANIFICACIÓN COMPLEMENTARIA,articulo,Intervención Estratégica|Definiciones,1,"El macroproyecto es el instrumento de planificación complementaria de segundo
nivel, a través del cual la Administración Municipal desarrolla las Áreas de
Intervención Estratégica -AIE-, estableciendo el conjunto de acciones orientadas a
la ejecución de una operación urbana de gran escala, con capacidad de generar
impactos en el conjunto de la estructura orientando así el crecimiento de la ciudad.
Parágrafo. Los predios localizados al interior de las Áreas de Intervención
Estratégica en áreas con tratamientos de consolidación en suelo urbano y, en todos
tratamientos en suelo rural de dichas áreas, podrán licenciarse de acuerdo con las
normas urbanísticas establecidas en el presente Acuerdo, sin que haya sido
adoptado el correspondiente Macroproyecto"
n719,Artículo 454. Definición                     del        Subsistema              de        Planificación Complementaria.,3,454,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,CAPITULO II  SUBSISTEMA DE PLANIFICACION COMPLEMENTARIA,articulo,Definiciones,1,"Abarca aquellos instrumentos de escala intermedia de segundo y tercer nivel,
generadores de norma urbanística, encargados de complementar la planificación
del territorio desde una visión integral del desarrollo en la ciudad, en busca de la
concreción del modelo de ocupación y del programa de ejecución. Se identifican los
siguientes:
1.    Segundo Nivel
      a) Macroproyectos
      b) Proyectos Urbanos Integrales del Ámbito Ladera
      c) Distritos Rurales Campesinos
2.    Tercer Nivel

     a) Planes Parciales
     b) Planes de Legalización y Regularización Urbanística
     c) Planes Maestros
     d) Unidades de Planificación Rural
     e) Planes Especiales de Manejo y Protección del Patrimonio -PEMP-
Ver Mapa 33. Instrumentos de Planificación.
Parágrafo 1. La Administración Municipal determinará las especificaciones técnicas
y estudios de detalle necesarios para la formulación de cada instrumento de
planificación complementaria, incluyendo los de movilidad y socio económicos en
aquellas áreas que así lo requieran.
Parágrafo 2. Se deberá presentar anualmente un informe sobre el seguimiento,
evaluación y control de los respectivos instrumentos de planificación
complementaria, igualmente sobre el cumplimiento de la vivienda de interés social
y prioritario.

                                SECCIÓN I. Macroproyectos"
n720,CAPITULO II  SUBSISTEMA DE PLANIFICACION COMPLEMENTARIA,2,2,,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,,capitulo,Intervención Estratégica,0,Capítulo II  SUBSISTEMA DE PLANIFICACION COMPLEMENTARIA
n721,Artículo 453. Sistema de gestión en el ámbito Suburbano.,3,453,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,,0,"La operación del Sistema de Gestión para la Equidad Territorial en los suelos
suburbanos, se regirá por los siguientes postulados:
1.    La Unidad de Planificación Rural -UPR- será el instrumento que permita
      concretar y detallar el régimen de norma urbanística general en el suelo rural.
      A su interior establecerá un esquema de reparto equitativo de cargas y
      beneficios para los territorios objeto de planificación.
2.    Las parcelaciones campestres aportarán a cesiones públicas de suelo
      destinadas al Borde Urbano-Rural en cualquiera de sus macroproyectos.
3.    Los centros poblados deberán ser objeto de intervenciones dirigidas a su
      consolidación y/o mejoramiento en un esquema autosostenible, en términos
      de cargas y de beneficios.
4.    Los asentamientos suburbanos de origen informal podrán ser receptores de
      cargas urbanas, producto de la expansión urbana, de parcelación campestre
      o inversión de las plusvalías cobradas por los suelos suburbanos
      categorizados por el presente Acuerdo, con el fin de orientar su mejoramiento
      integral y dotación.

       CAPÍTULO II           SUBSISTEMA DE PLANIFICACIÓN COMPLEMENTARIA"
n722,Artículo 452. Sistema de gestión en el ámbito Rural.,3,452,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,Ruralidad,0,"La operación del Sistema de Gestión para el Reparto de Cargas y Beneficios en el
ámbito Rural, se regirá por los siguientes postulados:
1.    Los suelos a proteger vinculados al DMI-DVARC y a la Reserva Forestal del
      protección del Rio Nare, serán principalmente financiados con aportes e
      instrumentos de compensación derivados del Sistema Nacional Ambiental, por
      parte de las instancias que son responsables de su declaratoria y manejo,
      aplicando instrumentos tales como: Pago por servicios ambientales,
      Certificados de incentivos forestales y Comercialización de bonos de carbono.
2.    La Administración Municipal podrá autorizar y destinar recursos para la compra
      de terrenos de alta vulnerabilidad y estratégicos para los fines de provisión de
      servicios ecosistémicos y vinculados a la Estructura Ecológica Principal en
      suelos rurales, haciendo uso de los recursos pagados por cargas urbanísticas,
      principalmente, de la consolidación urbana.
3.    Se autoriza la transferencia de cesiones en especie generados en desarrollos
      de parcelación campestre, hacia áreas predefinidas como prioritarias para
      adquisición en virtud de lo establecido en el capítulo correspondiente a la
      Estructura Ecológica Principal.
4.    Las áreas de protección de las actividades agropecuarias se consideran
      autosostenibles, pero podrán ser beneficiarias del Pago por servicios
      ambientales en las porciones de los terrenos que sean conservados y aporten
      a dichos servicios.
5.    En las áreas de Conservación (CS) y de Restauración de Actividades Rurales
      (RAR), se podrán implementar instrumentos de Pago por servicios
      ambientales y de transferencia de cesiones en las porciones que se provean
      servicios ambientales de los terrenos.
6.    En los suelos de protección, la Administración Municipal podrá aplicar los
      beneficios de tipo tributario y de estratificación, según la norma vigente."
n723,Artículo 451. Sistema de gestión en los ámbitos de ladera.,3,451,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,,0,"De conformidad con lo establecido en este Acuerdo, la Administración Municipal,
diseñará y reglamentará el sistema de inversión de las cargas en los ámbitos de
ladera, que permita la inversión prioritaria de una proporción de los recursos
pagados en el ámbito de ciudad consolidada aportante, por concepto de cargas
provenientes de las cesiones, principalmente generadas por procesos de
licenciamiento de construcción lote a lote, con el fin de apoyar la inversión en
sistemas locales de espacios públicos y equipamientos, identificados por el Plan

como lotes de espacio público proyectado y que pueden ser complementados por
los Proyectos Urbanos Integrales en Ámbito de Ladera, incluyendo los Planes de
Legalización y Regularización Urbanística en el marco del Programa de
Mejoramiento integral de Barrios."
n724,Artículo 450. Sistema de gestión en los macroproyectos del Borde Urbano-Borde Rural y de los Ejes Trasversales.,3,450,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,Intervención Estratégica,0,"La formulación y adopción de los macroproyectos del Borde Urbano-Rural y de las
Transversalidades Iguaná y Santa Elena, deberán incorporar los siguientes
elementos para su gestión:
1.    Estos macroproyectos deberán recibir aportes de cargas de otros ámbitos,
      principalmente de las áreas donde se configuren beneficios mediante la
      densificación de polígonos de ladera, para complementar los aportes a cargas
      generados en sus propios territorios que efectúen los desarrollos nuevos de
      consolidación a su interior y de los aportados por los suelos de expansión
      urbana, mediante sus planes parciales y de otras inversiones públicas.
2.    Las Áreas para la Preservación de Infraestructuras y del Sistema Público y
      Colectivo –API-, alojadas en estas áreas de intervención que ya estén
      aprobadas, mantendrán las disposiciones de aporte de cargas y los posibles
      beneficios conferidos por las respectivas resoluciones. En aquellos casos que
      no exista Plan Maestro para el API, o que estos se modifiquen, los polígonos
      involucrados podrán participar de aporte a cargas del ámbito en la medida de
      los beneficios conferidos.
3.    Los planes parciales de expansión urbana que se encuentren en desarrollo
      mantendrán su norma en el término de la vigencia establecida; el

      Macroproyecto podrá establecer una propuesta de modificación para el evento
      en que se venza su vigencia y algunas porciones de los mismos no se
      encuentren ejecutados; de esta manera, junto con los polígonos que hoy no
      cuentan con plan parcial adoptado, aportarán a las cargas urbanísticas del
      macroproyecto respectivo.
4.    Los territorios con tratamiento de Mejoramiento Integral MI contarán con las
      siguientes fuentes de financiación, derivadas de las zonas de desarrollo
      inmobiliario lucrativo urbano:
      a)      Recursos percibidos por la venta de derechos adicionales de
              construcción y desarrollo, utilizables en algunos polígonos de
              Consolidación niveles 1, 2 y 4.
      b)      Transferencia de cesiones de los desarrollos de ámbito de ladera
              pagados en lotes de oportunidad para los proyectos priorizados para
              parques, espacios públicos y equipamientos de los macroproyectos de
              Borde, haciendo la respectiva conversión de metros cuadrados en
              función de la diferencia de valor entre las zonas que originan el pago y
              los terrenos de borde.
      c)      Transferencia de derechos de construcción a los propietarios de lotes de
              oportunidad para parques y equipamientos públicos ubicados en estos
              macroproyectos, a ser utilizados para obtener el aprovechamiento
              adicional habilitado en algunos polígonos de tratamiento consolidación 1,
              2 y 4. de los ámbitos de ladera.
      d)      Recursos provenientes del cobro de plusvalías.
      e)      Los demás recursos del presupuesto público que se direccionen hacia
              estos macroproyectos."
n726,Artículo 448. Lineamientos generales para el reparto de Cargas y Beneficios en los Macroproyectos.,3,448,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,Servicios Públicos,0,"Para el reparto de cargas y beneficios en las Áreas de Intervención Estratégica
objeto de macroproyectos, se tendrán en cuenta los siguientes lineamientos
generales que deberán concretarse en cada ejercicio de planificación:

1.    Teniendo en cuenta que los macroproyectos del Área de Intervención
      Estratégica MEDRío poseen en general una condición de renovación urbana
      ligada a los mayores aprovechamientos y oportunidades de desarrollo en
      términos de beneficios, asumirán, con base en su capacidad de aporte y
      generación de plusvalías, la financiación de las cargas del proyecto Parques
      del Río, prioritariamente para la generación de espacio público de ciudad y de
      los sistemas complementarios a ejecutar en las áreas de renovación aledañas,
      en forma de parques de proximidad a los nuevos desarrollos. Igualmente
      aportarán al Subsistema de equipamientos colectivos y a las nuevas vías de
      superficie y conectividad local.
2.    En los casos en que los macroproyectos del Área de Intervención Estratégica
      MEDRío generen excedentes en términos de los aportes en dinero para el
      cumplimiento de obligaciones urbanísticas, estos podrán ser trasladados para
      financiar las cargas en los ámbitos de borde urbano y rural.
3.    Teniendo en cuenta que los macroproyectos del Borde Urbano-Rural y de los
      ejes trasversales, deberán asumir más cargas en relación con los beneficios a
      repartir, serán receptores de parte de los recursos captados por aportes de
      cargas urbanísticas derivados de los desarrollos de densificación en los
      ámbitos de media ladera que poseen capacidad de crecimiento, pudiendo
      transferir parte de las cesiones urbanísticas a dichos territorios; así como
      espacio público y equipamientos en el marco del programa de mejoramiento
      integral. Serán también receptores de parte de lo recaudado por la venta de
      derechos de construcción y desarrollo. Estos recursos se destinarán
      prioritariamente a la ejecución del programa de Mejoramiento Integral de
      Barrios y a la generación de parques públicos de borde en las áreas de
      oportunidad identificadas para este propósito."
n727,Artículo 447. Manejo de cargas y beneficios en las Áreas de Intervención Estratégica.,3,447,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,Servicios Públicos,0,"En consecuencia con el modelo de ocupación territorial establecido en el presente
Acuerdo, el Sistema de Gestión para la Equidad Territorial, hará énfasis en el
financiamiento de las principales cargas urbanísticas localizadas en las Áreas de
Intervención Estratégica, que serán planificadas y gestionadas mediante
Macroproyectos urbanos según se detalla en el presente Capítulo Subsistema de
Planificación Complementaria."
n728,Artículo 446. Configuración de cargas y beneficios.,3,446,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,Servicios Públicos,0,"Para efectos de la presente reglamentación, se configuran cargas urbanísticas
cuando el presente plan toma alguna de las siguientes decisiones:
1.    La determinación del tratamiento de Conservación, en los suelos clasificados
      como de protección ambiental en suelo rural, cuando con ello se restrinja la
      posibilidad de utilizar económicamente un lote o derivar de éste una renta
      tradicional del suelo; siempre y cuando, la asignación de esta clasificación no

      se origine en las condiciones naturales derivadas de la base físico-biótica de
      territorio, tales como la presencia de amenazas naturales, restricciones
      fisiográficas, sistemas hídricos u orográficos.
2.    La identificación de componentes del sistema público y colectivo, tales como
      espacios públicos, equipamientos públicos, subsistema de movilidad y de
      servicios públicos, así como las declaratorias de Bienes de Interés Cultural.
3.    La determinación de tratamientos urbanísticos de Conservación niveles 1 y 3,
      que en aras de garantizar el derecho colectivo al patrimonio, generan un menor
      aprovechamiento del suelo.
4.    La identificación de tratamientos urbanísticos de Mejoramiento Integral sujetos
      a planes de Legalización y Regularización Urbanística, a partir de los cuales
      la colectividad asume una carga de ciudad, según lo establecido en el artículo
      48 de la Ley 9 de 1.989 o las demás normas que la complementen, modifiquen
      o sustituyan y el compromiso financiero de mejorar los asentamientos
      informales como una política pública.
5.    La determinación de obligaciones urbanísticas, contraprestaciones y cesiones
      a las actuaciones urbanísticas que en este mismo Plan les ha posibilitado la
      obtención de beneficios urbanísticos, así como la construcción de VIP y/o
      reserva de suelos para la misma.
6.    La captación de plusvalías, el cobro de valorización y otras formas de
      recuperación de plusvalías, originadas por las decisiones normativas de este
      Plan y las obras públicas que se ejecuten.
Se configuran beneficios urbanísticos derivados del presente Plan, cuando:
1.    Las normas estructurales establecen las clases de suelos urbano, de
      expansión urbana y suburbano, y en estos, algunos predios quedan habilitados
      para realizar actuaciones de urbanización, construcción y parcelación,
      dependiendo de las normas urbanísticas generales.
2.    Las normas generales de tratamientos y aprovechamientos posibilitan el
      desarrollo urbanístico y/o constructivo lucrativo, especialmente en los
      tratamientos de renovación urbana, desarrollo y consolidación urbana.
3.    Las normas de usos del suelo permiten la generación de rentas a sus
      propietarios y a los dueños de establecimientos comerciales, industriales y de
      servicios.

Parágrafo 1. En el Suelo Rural con tratamiento de conservación CS, la
Administración Municipal reglamentará la aplicación de mecanismos de protección
a las actividades ambientales sobre las agrícolas, a través del pago por servicios
ambientales, descrito en el Subsistema de Financiación, en las porciones de
terrenos incluidos de la Estructura Ecológica Principal, con el fin de contrarrestar la
marcada diferencia de rentas con el suelo urbano, que afronta esta clase de suelo
en un entorno metropolitano.
Parágrafo 2. En tratamientos urbanos de Conservación Nivel 2 (C2) y
Consolidación Nivel 5 (CN5), no habrá lugar a la implementación de
compensaciones, teniendo en cuenta que dichos polígonos se encuentran en
situación de equilibrio en relación con el reparto de cargas y beneficios; si bien las
oportunidades de edificabilidad son limitadas, se trata de áreas urbanas
consolidadas con respecto a su capacidad de soporte, en las cuales priman
urbanizaciones de multifamiliares que ya utilizaron su potencial de aprovechamiento
durante la vigencia de normas urbanísticas anteriores al presente Acuerdo.
Parágrafo 3. En tratamiento de Consolidación Nivel 3 CN3, donde apliquen los
Planes de Legalización y Regularización Urbanística, estos determinarán la forma
en que se asumirán las cargas generales derivadas de las necesidades de dotación
de espacio público, equipamientos, servicios públicos y movilidad."
n729,Artículo 445. Criterios del Sistema Gestión para la Equidad Territorial.,3,445,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,CAPITULO I  CRITERIOS GENERALES DEL SISTEMA DE GESTION,articulo,,0,"Los criterios que orientarán la aplicación de los instrumentos de gestión en el marco
de este Sistema son los siguientes:
1.    Toda actuación urbanística (urbanización, parcelación o construcción), implica
      el aporte de cargas urbanísticas en proporción a los beneficios originados.
2.    Toda carga urbanística que origina el Plan de Ordenamiento Territorial y sus
      instrumentos de planificación complementaria, deberá contar con mecanismos
      de compensación económica en la proporción que la restricción u obligación
      genera; estas compensaciones podrán ser pagadas con los recursos

      provenientes de los aportes a las cargas impuestas por las actuaciones
      urbanística públicas o privadas, o por otros recursos del Estado.
3.    Las compensaciones aplicarán siempre que las cargas urbanísticas se deriven
      de una decisión normativa del Plan y no de las condiciones biofísicas de los
      inmuebles o de la capacidad de soporte del polígono de tratamiento.
4.    El Plan y sus instrumentos de planificación complementaria, contarán con
      herramientas para viabilizar el aporte de las cargas urbanísticas y distribuirlas
      de acuerdo con las prioridades e intervenciones establecidas en el mismo.
5.    Los instrumentos de gestión del suelo requeridos para convertir suelos
      privados en cargas urbanísticas, buscarán viabilizar su entrega por medio de
      Cesiones Urbanísticas, Transferencias de Derechos, Pagos en Especie y
      Venta de Derechos, para lo cual la Administración Municipal deberá aplicar
      herramientas para precaver la elevación de los valores del suelo, así como
      para reservar dichos suelos, mediante instrumentos tales como el Anuncio de
      Proyecto, el Derecho de Preferencia, el Desarrollo Prioritario y las
      Afectaciones Urbanísticas. Igualmente, para favorecer los aportes a cargas
      urbanísticas, promoverá mecanismos de asociación entre propietarios
      privados o entre estos y entidades públicas, mediante instrumentos de
      planificación complementaria como los Macroproyectos, Planes Parciales,
      Unidades de Planificación Rural, Unidades de Actuación Urbanística,
      Unidades de Gestión y Alianzas Público-Privadas a través Operadores
      Urbanos y Bancos Inmobiliarios, contando con las herramientas de adquisición
      de inmuebles que la Ley le permite.
Parágrafo. La Administración Municipal propenderá por la construcción y
reglamentación de los sistemas regional y departamental para el reparto equitativo
de cargas y beneficios, en el marco de los futuros procesos de planificación que las
instancias encargadas emprenderán."
n731,Artículo 443. Definición del Sistema de Gestión para la Equidad Territorial.,3,443,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,CAPITULO I  CRITERIOS GENERALES DEL SISTEMA DE GESTION,articulo,Definiciones,1,"En aplicación de los artículos 2 y 38 de la Ley 388 de 1.997, este Sistema desarrolla
el principio de reparto equitativo de cargas y beneficios, en torno al cual se
articularán los instrumentos de gestión y planificación con criterios de equidad y
sostenibilidad social y ambiental, con el fin de restablecer, desde la práctica
urbanística, las situaciones de desequilibrio que genera la asignación de la norma
diferenciada para cada polígono de tratamiento en el territorio municipal, en virtud
de la cual el ejercicio del derecho de propiedad resulta restringido o favorecido en
términos de los beneficios y cargas asignados desde el Plan de Ordenamiento
Territorial y sus instrumentos de planificación complementaria, los cuales tienen por
objeto concretar un modelo de ocupación territorial entendido como el pacto social
que traduce la suma de los intereses generales sobre el territorio.
Las restricciones impuestas en el marco de la función social y ecológica de la
propiedad por el presente Plan, deberán ser compensadas en virtud del principio
Constitucional de equidad, siempre que estas se originen en decisiones normativas
del Plan, y no en la capacidad de soporte del territorio o las condiciones biofísicas
del suelo."
n732,CAPITULO I  CRITERIOS GENERALES DEL SISTEMA DE GESTION,2,1,,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,,capitulo,Intervención Estratégica,0,Capítulo I  CRITERIOS GENERALES DEL SISTEMA DE GESTION
n733,Artículo 442. Componentes del sistema.,3,442,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,CAPITULO I  CRITERIOS GENERALES DEL SISTEMA DE GESTION,articulo,,0,"Serán componentes del Sistema de Gestión para la Equidad Territorial: el
Subsistema de Planificación Complementaria, el Subsistema de Intervención del
Suelo y el Subsistema de Financiación.

      CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN
                               PARA LA EQUIDAD TERRITORIAL"
n734,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,1,1,,,,titulo,,0,Título I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL
n735,Artículo 441. Procesos de parcelación.,3,441,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V           NORMAS GENERALES Y VOLUMÉTRICAS,,articulo,,0,"Los desarrollos urbanísticos de parcelación en suelo rural se pueden generar de la
siguiente manera:
1.    Parcelación habitacional: corresponde a la parcelación de lotes destinados
      a unidades habitacionales, donde el uso es exclusivamente de vivienda.
2.    Parcelación especializada: Corresponde a la parcelación de lotes destinados
      a usos comerciales, industriales, de servicio o dotacionales en corredores
      rurales.

           IV. PARTE         SISTEMAS INSTITUCIONALES Y DE GESTIÓN

   TITULO I         SISTEMA DE GESTIÓN PARA LA EQUIDAD TERRITORIAL"
n736,Artículo 440. Generalidades del proceso de parcelación.,3,440,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,,0,"En concordancia con lo establecido en el Artículo 5 del Decreto Nacional 1469 de
2.010, el proceso de parcelación corresponde a la autorización previa para ejecutar
en uno o varios predios localizados en suelo rural y suburbano, la creación de
espacios públicos y privados, y la ejecución de obras para vías públicas que
permitan destinar los predios resultantes a los usos permitidos"
n737,Artículo 439. Reconocimiento de edificaciones.,3,439,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,Licenciamiento,0,"Se establece para edificaciones de máximo dos pisos de altura y cuatro
destinaciones, que acrediten haber sido realizadas antes del 20 de marzo de 2.007,
fecha de expedición de la Resolución 9328 de 2.007 de la Corporación Regional del
Centro de Antioquia- CORANTIOQUIA-. Se tendrán en cuenta las siguientes reglas:

1.    En suelos ubicados en los siguientes tratamientos:
      a) Generación de actividades rurales (GARS). En áreas con uso
         agroforestal procederá el reconocimiento de 1 edificación destinada a
         vivienda, en lotes con área mínima de 1 ha.
      b) Restauración de actividades rurales –RAR-. En áreas con uso forestal
         productor, uso agrícola, procederá el reconocimiento de 1 edificación
         destinada a vivienda en lotes con área mínima de seis mil cuatrocientos
         (6.400,00 m2).
2.    En Suelo Suburbano, Consolidación Suburbana. En áreas con uso mixto
      urbano-rural, procederá el reconocimiento de 1 edificación destinada a
      vivienda en lotes con área mínima de cien metros cuadrados (100,00 m2).
3.    En Mejoramiento Integral. Procederá el reconocimiento de edificaciones
      destinadas a vivienda según lo defina la Unidad de Planificación Rural -UPR.
Parágrafo. En tratamientos de conservación, en áreas con uso forestal protector,
procederá el reconocimiento de 1 edificación destinada a vivienda localizadas en
lote con área mínima de 38ha, en aplicación de la Resolución 9328 de 2.007, o la
norma que la modifique complemente o sustituya."
n738,Artículo 438. Retiro a linderos.,3,438,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,Normas Volumétricas,0,"1.    En Suelo Rural. Toda edificación destinada a cualquier uso en el suelo rural,
      deberá cumplir con un retiro de construcción a linderos de diez metros (10,00
      m.).
2.    En Centros Poblados. Para las viviendas con predios menores a 500,00 m2
      o vivienda adosada o nucleada, no se exigirá retiro a linderos; para la vivienda
      individual se exigirá un retiro de dos metros (2,00 m).
3.    En Suelo Rural Suburbano. Para la vivienda, se exigirá un retiro de tres
      metros (3,00 m).
4.    En áreas objeto de parcelación para vivienda campestre. Los procesos de
      parcelación, cumplirán con un retiro perimetral de diez metros (10,00 m) con
      respecto al lindero de la parcelación, y retiro perimetral cinco metros (5 m)
      entre viviendas.
      Los desarrollos urbanísticos o en parcelaciones destinados a vivienda, que se
      localicen contiguos a usos incompatibles, tendrán un retiro perimetral de diez
      metros (10.00 m) a estos usos.
      Los retiros a linderos para nuevos equipamientos en suelo rural, se regirán por
      lo establecido en la norma específica para cada tipo de equipamiento según
      su tipología."
n739,Artículo 437. Frente mínimo de lote.,3,437,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,,0,"Se identifican en la siguiente tabla para suelos suburbanos, exceptuando los centros
poblados:
                                                                       Frentes lotes para     Para otros usos
 Categoría de suelo       Tratamientos               Uso del Suelo
                                                                           vivienda
 Protección           Conservación                Forestal Protector
 ambiental
                      Restauración          de    Agroforestal
                      Actividades Rurales         Forestal Productor   N/A                  N/A
 Protección para la   Generación            de
 producción           Actividades     Rurales     Agropecuario
                      Sostenibles                 Áreas mineras en
                      Transición a protección     transición
                                                                       6     metros     -
 Suburbanos                                       Mixto Urbano Rural                        3 metros
                                                                       10    metros     -

                                                                         Frentes lotes para     Para otros usos
 Categoría de suelo       Tratamientos             Uso del Suelo
                                                                               vivienda
                                                Servicios e Industria    Parcelaciones        En          corredores
                      Consolidación Nivel 1,                             vivienda campestre   suburbanos, según la
                      2,3 y 4 y Mejoramiento                                                  industria o el tipo de
                      integral                  Dotacional y Servicios
                                                                                              desarrollo."
n740,Artículo 436. Locales independientes para actividades económicas en suelo rural.,3,436,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,,0,"Las actividades económicas a desarrollar en locales independientes localizados en
el Suelo Rural, se determinan para cada tipología de uso de acuerdo con la
respectiva Categoría de Uso del Suelo en el que se ubiquen.
Las agrupaciones de locales en suelo rural sólo podrán localizarse en las
Centralidades Suburbanas Niveles 1 y 2 y en las Centralidades Veredales."
n741,Artículo 435. Subdivisión de predios.,3,435,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,Vivienda,0,"Es el proceso por el cual un lote matriz se subdivide en uno o más predios. Al
adelantar procesos de partición, los lotes resultantes individualmente cumplirán con
el área mínima de lote que se establezca, según la localización y el tratamiento
asignado."
n742,Artículo 434. Unidad Mínima de Actuación para suelo suburbano.,3,434,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO V  NORMAS GENERALES Y V OLUMETRICAS,,articulo,Suelo,0,"La Unidad Mínima de Actuación, aplicable a los Tratamientos Consolidación
Suburbana Nivel 4 (CNS4), polígonos SC-CSN4-02 Conexión Aburrá – Cauca y SC-
CSN4-03 Pedregal Alto, se determina para la ejecución de las obras de parcelación
del predio o predios que la conforman, mediante la expedición de una única licencia
de parcelación en la que se garantice la ejecución y dotación de las áreas de cesión
y de las obras de infraestructura de servicios públicos.
En ningún caso, la extensión de la unidad mínima de actuación podrá ser inferior a
dos hectáreas (2 ha.) para todos los usos que se desarrollen en Suelo Rural
Suburbano.
Toda parcelación contará con accesibilidad vial de tal forma que quede directamente
vinculada al sistema vial existente, respetando los planes viales y contribuyendo a
la construcción de la red vial rural, cumpliendo con la debida dotación de servicios

públicos básicos y con las exigencias señaladas en las normas de superior
jerarquía, en cuanto a la preservación de la cobertura forestal, retiros a nacimientos
y corrientes de aguas y demás disposiciones relacionadas con la protección del
espacio público y del medio ambiente.
Parágrafo. Se exceptúa de cumplir con la extensión de la unidad mínima de
actuación, únicamente a la construcción individual de una sola casa de habitación
del propietario, que no forme parte de una parcelación, agrupación de vivienda,
condominio, unidad inmobiliaria cerrada o similares sometidas o no al régimen de
propiedad horizontal."
